Zonas  Turísticas;Periodo;Total
Andalucía: Costa De La Luz De Cádiz;2021M12;2,52
Andalucía: Costa De La Luz De Cádiz;2021M11;2,79
Andalucía: Costa De La Luz De Cádiz;2021M10;3,92
Andalucía: Costa De La Luz De Cádiz;2021M09;4,6
Andalucía: Costa De La Luz De Cádiz;2021M08;5,21
Andalucía: Costa De La Luz De Cádiz;2021M07;4,75
Andalucía: Costa De La Luz De Cádiz;2021M06;2,9
Andalucía: Costa De La Luz De Cádiz;2021M05;2,42
Andalucía: Costa De La Luz De Cádiz;2021M04;2,54
Andalucía: Costa De La Luz De Cádiz;2021M03;2,52
Andalucía: Costa De La Luz De Cádiz;2021M02;3,16
Andalucía: Costa De La Luz De Cádiz;2021M01;2,73
Andalucía: Costa De La Luz De Cádiz;2020M12;2,16
Andalucía: Costa De La Luz De Cádiz;2020M11;3,12
Andalucía: Costa De La Luz De Cádiz;2020M10;2,36
Andalucía: Costa De La Luz De Cádiz;2020M09;4,45
Andalucía: Costa De La Luz De Cádiz;2020M08;5,28
Andalucía: Costa De La Luz De Cádiz;2020M07;4,35
Andalucía: Costa De La Luz De Cádiz;2020M06;.
Andalucía: Costa De La Luz De Cádiz;2020M05;.
Andalucía: Costa De La Luz De Cádiz;2020M04;0
Andalucía: Costa De La Luz De Cádiz;2020M03;1,74
Andalucía: Costa De La Luz De Cádiz;2020M02;2,11
Andalucía: Costa De La Luz De Cádiz;2020M01;2,35
Andalucía: Costa De La Luz De Cádiz;2019M12;2,18
Andalucía: Costa De La Luz De Cádiz;2019M11;2,87
Andalucía: Costa De La Luz De Cádiz;2019M10;3,23
Andalucía: Costa De La Luz De Cádiz;2019M09;4,25
Andalucía: Costa De La Luz De Cádiz;2019M08;5,54
Andalucía: Costa De La Luz De Cádiz;2019M07;4,65
Andalucía: Costa De La Luz De Cádiz;2019M06;3,18
Andalucía: Costa De La Luz De Cádiz;2019M05;2,63
Andalucía: Costa De La Luz De Cádiz;2019M04;2,82
Andalucía: Costa De La Luz De Cádiz;2019M03;2,23
Andalucía: Costa De La Luz De Cádiz;2019M02;2,59
Andalucía: Costa De La Luz De Cádiz;2019M01;2,83
Andalucía: Costa De La Luz De Cádiz;2018M12;2,62
Andalucía: Costa De La Luz De Cádiz;2018M11;3,43
Andalucía: Costa De La Luz De Cádiz;2018M10;3,26
Andalucía: Costa De La Luz De Cádiz;2018M09;3,65
Andalucía: Costa De La Luz De Cádiz;2018M08;5,44
Andalucía: Costa De La Luz De Cádiz;2018M07;5
Andalucía: Costa De La Luz De Cádiz;2018M06;3,06
Andalucía: Costa De La Luz De Cádiz;2018M05;2,75
Andalucía: Costa De La Luz De Cádiz;2018M04;3,65
Andalucía: Costa De La Luz De Cádiz;2018M03;3,86
Andalucía: Costa De La Luz De Cádiz;2018M02;2,96
Andalucía: Costa De La Luz De Cádiz;2018M01;2,32
Andalucía: Costa De La Luz De Cádiz;2017M12;2,74
Andalucía: Costa De La Luz De Cádiz;2017M11;3,28
Andalucía: Costa De La Luz De Cádiz;2017M10;3,38
Andalucía: Costa De La Luz De Cádiz;2017M09;4,09
Andalucía: Costa De La Luz De Cádiz;2017M08;6,31
Andalucía: Costa De La Luz De Cádiz;2017M07;5,19
Andalucía: Costa De La Luz De Cádiz;2017M06;3,35
Andalucía: Costa De La Luz De Cádiz;2017M05;2,96
Andalucía: Costa De La Luz De Cádiz;2017M04;3,17
Andalucía: Costa De La Luz De Cádiz;2017M03;2,68
Andalucía: Costa De La Luz De Cádiz;2017M02;2,72
Andalucía: Costa De La Luz De Cádiz;2017M01;2,09
Andalucía: Costa De La Luz De Cádiz;2016M12;2,66
Andalucía: Costa De La Luz De Cádiz;2016M11;2,67
Andalucía: Costa De La Luz De Cádiz;2016M10;3,51
Andalucía: Costa De La Luz De Cádiz;2016M09;3,7
Andalucía: Costa De La Luz De Cádiz;2016M08;6,44
Andalucía: Costa De La Luz De Cádiz;2016M07;5,64
Andalucía: Costa De La Luz De Cádiz;2016M06;3,71
Andalucía: Costa De La Luz De Cádiz;2016M05;2,95
Andalucía: Costa De La Luz De Cádiz;2016M04;2,49
Andalucía: Costa De La Luz De Cádiz;2016M03;3,15
Andalucía: Costa De La Luz De Cádiz;2016M02;2,71
Andalucía: Costa De La Luz De Cádiz;2016M01;2,27
Andalucía: Costa De La Luz De Cádiz;2015M12;2,51
Andalucía: Costa De La Luz De Cádiz;2015M11;3,04
Andalucía: Costa De La Luz De Cádiz;2015M10;3,1
Andalucía: Costa De La Luz De Cádiz;2015M09;3,69
Andalucía: Costa De La Luz De Cádiz;2015M08;6,16
Andalucía: Costa De La Luz De Cádiz;2015M07;4,62
Andalucía: Costa De La Luz De Cádiz;2015M06;3
Andalucía: Costa De La Luz De Cádiz;2015M05;2,76
Andalucía: Costa De La Luz De Cádiz;2015M04;3,15
Andalucía: Costa De La Luz De Cádiz;2015M03;2,76
Andalucía: Costa De La Luz De Cádiz;2015M02;2,06
Andalucía: Costa De La Luz De Cádiz;2015M01;2,22
Andalucía: Costa De La Luz De Cádiz;2014M12;1,99
Andalucía: Costa De La Luz De Cádiz;2014M11;4,37
Andalucía: Costa De La Luz De Cádiz;2014M10;3,51
Andalucía: Costa De La Luz De Cádiz;2014M09;4,44
Andalucía: Costa De La Luz De Cádiz;2014M08;6,47
Andalucía: Costa De La Luz De Cádiz;2014M07;5,31
Andalucía: Costa De La Luz De Cádiz;2014M06;3,8
Andalucía: Costa De La Luz De Cádiz;2014M05;2,86
Andalucía: Costa De La Luz De Cádiz;2014M04;3,32
Andalucía: Costa De La Luz De Cádiz;2014M03;2,99
Andalucía: Costa De La Luz De Cádiz;2014M02;2,5
Andalucía: Costa De La Luz De Cádiz;2014M01;2,9
Andalucía: Costa De La Luz De Cádiz;2013M12;2,47
Andalucía: Costa De La Luz De Cádiz;2013M11;3,48
Andalucía: Costa De La Luz De Cádiz;2013M10;3,48
Andalucía: Costa De La Luz De Cádiz;2013M09;4,13
Andalucía: Costa De La Luz De Cádiz;2013M08;5,59
Andalucía: Costa De La Luz De Cádiz;2013M07;5,03
Andalucía: Costa De La Luz De Cádiz;2013M06;2,92
Andalucía: Costa De La Luz De Cádiz;2013M05;2,9
Andalucía: Costa De La Luz De Cádiz;2013M04;2,69
Andalucía: Costa De La Luz De Cádiz;2013M03;3,48
Andalucía: Costa De La Luz De Cádiz;2013M02;3,46
Andalucía: Costa De La Luz De Cádiz;2013M01;2,68
Andalucía: Costa De La Luz De Cádiz;2012M12;2,94
Andalucía: Costa De La Luz De Cádiz;2012M11;3,67
Andalucía: Costa De La Luz De Cádiz;2012M10;3,18
Andalucía: Costa De La Luz De Cádiz;2012M09;4,26
Andalucía: Costa De La Luz De Cádiz;2012M08;6,21
Andalucía: Costa De La Luz De Cádiz;2012M07;5,22
Andalucía: Costa De La Luz De Cádiz;2012M06;2,99
Andalucía: Costa De La Luz De Cádiz;2012M05;2,79
Andalucía: Costa De La Luz De Cádiz;2012M04;3,21
Andalucía: Costa De La Luz De Cádiz;2012M03;3,39
